17:56:56, уставка 50.0-57.0, текущая темп. 50.3, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:57, уставка 50.0-57.0, текущая темп. 50.3, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:58, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВЫКЛ.
17:56:59, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:00, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:01, уставка 50.0-57.0, текущая темп. 51.6, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:02, уставка 50.0-57.0, текущая темп. 51.6, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:03, уставка 50.0-57.0, текущая темп. 51.6, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:04, уставка 50.0-57.0, текущая темп. 52.4, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:05, уставка 50.0-57.0, текущая темп. 52.4, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:06, уставка 50.0-57.0, текущая темп. 52.4, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:07, уставка 50.0-57.0, текущая темп. 52.5, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:08, уставка 50.0-57.0, текущая темп. 52.5, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:09, уставка 50.0-57.0, текущая темп. 52.5, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:10, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:11, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:12, уставка 50.0-57.0, текущая темп. 52.1, охл. ВЫКЛ., нагр. ВЫКЛ.
17:57:13, уставка 50.0-57.0, текущая темп. 51.5, охл. ВЫКЛ., нагр. ВКЛ.
17:57:14, уставка 50.0-57.0, текущая темп. 51.5, охл. ВЫКЛ., нагр. ВКЛ.
17:57:15, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
17:57:16, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
17:57:17, уставка 50.0-57.0, текущая темп. 50.8, охл. ВЫКЛ., нагр. ВКЛ.
17:57:18, уставка 50.0-57.0, текущая темп. 50.1, охл. ВЫКЛ., нагр. ВКЛ.
17:57:19, уставка 50.0-57.0, текущая темп. 50.1, охл. ВЫКЛ., нагр. ВКЛ.
17:57:20, уставка 50.0-57.0, текущая темп. 50.1, охл. ВЫКЛ., нагр. ВКЛ.
